,character,line,gender
115,NICK FURY,I didn't lie. Agent Romanoff had a different mission than yours.,MALE
116,STEVE ROGERS,Which you didn't feel obliged to share.,MALE
117,NICK FURY,I'm not obliged to do anything.,MALE
118,STEVE ROGERS,"Those hostages could've died, Nick.",MALE
119,NICK FURY,I sent the greatest soldier in history to make sure that didn't happen.,MALE
120,STEVE ROGERS,"Soldiers trust each other, that's what makes it an army. Not a bunch of guys running around and shooting guns.",MALE
121,NICK FURY,"The last time I trusted someone, I lost an eye. Look, I didn't want you doing anything you weren't comfortable with. Agent Romanoff is comfortable with everything.",MALE
122,STEVE ROGERS,I can't lead a mission when the people I'm leading have missions of their owns.,MALE
123,NICK FURY,It's called compartmentalization. Nobody spills the secrets because nobody knows them all.,MALE
124,STEVE ROGERS,Except you.,MALE
125,NICK FURY,You're wrong about me. I do share. I'm nice like that.,MALE
126,NICK FURY,Insight bay.,MALE
127,SHIELD COMPUTER,Captain Rogers does not have clearance for Project Insight.,FEMALE
128,NICK FURY,"Director override, Fury, Nicholas J.",MALE
129,SHIELD COMPUTER,Confirmed.,FEMALE
130,STEVE ROGERS,"You know, they used to play music.",MALE
131,NICK FURY,"Yeah. My grandfather operated one of these things for forty years. My granddad worked in a nice building, he got good tips.",MALE
132,NICK FURY,"He'd walk home every night, roll of ones stuffed in his lunch bag. He'd say ""hi"", people would say hi back. Time went on, neighborhood got rougher. He'd say ""Hi"", they'd say, ""Keep on steppin'. Granddad got to grippin' that lunch bag a little tighter.",MALE
133,STEVE ROGERS,Did he ever get mugged?,MALE
134,NICK FURY,"Every week some punk would say, ""What's in the bag?""",MALE
135,STEVE ROGERS,What did he do?,MALE
136,NICK FURY,He'd show 'em. Bunch of crumpled ones and loaded .22 Magnum.,MALE
137,NICK FURY,Granddad loved people. But he didn't trust them very much.,MALE
138,NICK FURY,"Yeah, I know. They're a little bit bigger than a .22.",MALE
139,NICK FURY,This is Project Insight. Three next generation Helicarriers synced to a network of targeting satellites.,MALE
140,STEVE ROGERS,Launched from the Lemurian Star.,MALE
141,NICK FURY,Once we get them in the air they never need to come down. Continuous suborbital flight courtesy of our new repulsor engines.,MALE
142,STEVE ROGERS,Stark?,MALE
143,NICK FURY,"Well, he had a few suggestions once he got an up close look at our old turbines. These new long range precision guns can eliminate a thousand hostiles a minute. The satellites can read a terrorist's DNA before he steps outside his spider hole. We gonna neutralize a lot of threats before they even happen.",MALE
144,STEVE ROGERS,I thought the punishment usually came after the crime.,MALE
145,NICK FURY,We can't afford to wait that long.,MALE
146,STEVE ROGERS,"Who's ""we""?",MALE
147,NICK FURY,"After New York, I convinced the World Security Council we needed a quantum surge in threat analysis. For once we're way ahead of the curve.",MALE
148,STEVE ROGERS,By holding a gun at everyone on Earth and calling it protection.,MALE
149,NICK FURY,"You know, I read those SSR files. Greatest generation? You guys did some nasty stuff.",MALE
150,STEVE ROGERS,"Yeah, we compromised. Sometimes in ways that made us not sleep so well. But we did it so the people could be free. This isn't freedom, this is fear.",MALE
151,NICK FURY,"SHIELD takes the world as it is, not as we'd like it to be. It's getting damn near past time for you to get with that program, Cap.",MALE
152,STEVE ROGERS,Don't hold your breath.,MALE
153,THE SMITHSONIAN NARRATOR,"A symbol to the nation. A hero to the world. The story of Captain America is one of honor, bravery and sacrifice.",MALE
154,WOMAN ON PA,Welcome to the Smithsonian. Visitor information booths are available on the second level.,FEMALE
155,THE SMITHSONIAN NARRATOR,"Denied enlistment due to poor health, Steven Rogers was chosen for a program unique in the annals of American warfare. One that would transform him into the world's first super soldier.",MALE
156,OLD FOOTAGE RECORDING,"In this rare footage, everyone's favorite war hero, Captain America...",NEUTRAL
157,THE SMITHSONIAN NARRATOR,"Battle tested, Captain America and his Howling Commandos quickly earned their stripes. Their mission, taking down HYDRA, the Nazi rogue science division.",MALE
158,THE SMITHSONIAN NARRATOR,"Best friends since childhood, Bucky Barnes and Steven Rogers were inseparable on both schoolyard and battlefield. Barnes is the only Howling Commando to give his life in service of his country.",MALE
159,PEGGY CARTER,That was a difficult winter. A blizzard had trapped half our battalion behind the German line. Steve...,FEMALE
160,PEGGY CARTER,"Captain Rogers, he fought his way through a HYDRA blockade that had pinned our allies down for months. He saved over a thousand men, including the man who would...who would become my husband as it turned out. Even after he died, Steve was still changing my life.",FEMALE
161,STEVE ROGERS,"You should be proud of yourself, Peggy.",MALE
162,PEGGY CARTER,Mm. I have lived a life. My only regret is that you didn't get to live yours.,FEMALE
163,PEGGY CARTER,What is it?,FEMALE
164,STEVE ROGERS,"For as long as I can remember I just wanted to do what was right. I guess I'm not quite sure what that is anymore. And I thought I could throw myself back in and follow orders, serve. It's just not the same.",MALE
165,PEGGY CARTER,"You're always so dramatic. Look, you saved the world. We rather...mucked it up.",FEMALE
166,STEVE ROGERS,You didn't. Knowing that you helped found SHIELD is half the reason I stay.,MALE
167,PEGGY CARTER,"Hey. The world has changed and none of us can go back. All we can do is our best, and sometimes the best that we can do is to start over.",FEMALE
168,STEVE ROGERS,Peggy.,MALE
169,PEGGY CARTER,Steve?,FEMALE
170,STEVE ROGERS,Yeah.,MALE
171,PEGGY CARTER,"You're alive! You...you came, you came back.",FEMALE
172,STEVE ROGERS,"Yeah, Peggy.",MALE
173,PEGGY CARTER,It's been so long. So long.,FEMALE
174,STEVE ROGERS,"Well, I couldn't leave my best girl. Not when she owes me a dance.",MALE
175,NICK FURY,Secure office.,MALE
176,NICK FURY,Open Lemurian Star's satellite launch file.,MALE
177,SHIELD COMPUTER,Access denied.,FEMALE
178,NICK FURY,Run decryption.,MALE
179,SHIELD COMPUTER,Decryption failed.,FEMALE
180,NICK FURY,"Director override, Fury, Nicholas J.",MALE
181,SHIELD COMPUTER,Override denied. All files sealed.,FEMALE
182,NICK FURY,On whose authority?,MALE
183,SHIELD COMPUTER,"Fury, Nicholas J.",FEMALE
184,NICK FURY,World Security Council.,MALE
185,SHIELD COMPUTER,Confirmed.,FEMALE
186,COUNCILMAN ROCKWELL,"If Nick Fury thinks he can get his costumed thugs and STRIKE commandos to mop-up his mess, he's sadly mistaken. This failure is unacceptable.",MALE
187,COUNCILMAN SINGH,"Well, considering this attack took place one mile from my country's sovereign waters, it's a bit more then that. I move for immediate hearing.",MALE
188,COUNCILWOMAN HAWLEY,"We don't need hearings, we need action. It's this Council's duty to oversee SHIELD.",FEMALE
189,COUNCILMAN YEN,A breach like this raises serious questions.,MALE
190,COUNCILMAN ROCKWELL,Like how the hell did a French pirate manage to hijack a covert SHIELD vessel in broad daylight?,MALE
191,ALEXANDER PIERCE,"For the record, councilman, he's Algerian. I can draw a map if it'll help.",MALE
192,COUNCILMAN ROCKWELL,"I appreciate your wit, Secretary Pierce. But this Council take things like international piracy fairly seriously.",MALE
193,ALEXANDER PIERCE,"Really? I don't. I don't care about one boat, I care about the fleet. If this Council is going to fall a rancor every time someone pushes us on the playing field, maybe we need someone to oversee us.",MALE
194,COUNCILMAN YEN,"Mr. Secretary, nobody is suggesting...",MALE
195,ALEXANDER PIERCE,Excuse me.,MALE
196,COUNCILMAN ROCKWELL,"More trouble, Mr. Secretary?",MALE
197,ALEXANDER PIERCE,It depends on your definition.,MALE
198,ALEXANDER PIERCE,I work forty floors away and it takes a hijacking for you to visit?,MALE
199,NICK FURY,A nuclear war would do it too.,MALE
200,NICK FURY,Busy in there?,MALE
201,ALEXANDER PIERCE,Nothing some earmarks can't fix.,MALE
202,NICK FURY,"I'm, uh...here to ask a favor. I want you to call for a vote. Project insight has to be delayed.",MALE
203,ALEXANDER PIERCE,"Nick, that's not a favor, that's a subcommittee hearing. A long one.",MALE
204,NICK FURY,"It could be nothing, probably is nothing. I just need time to make sure it's nothing.",MALE
205,ALEXANDER PIERCE,What if it's something?,MALE
206,NICK FURY,Then we'll both be damn glad those Helicarriers aren't in the air.,MALE
207,ALEXANDER PIERCE,Fine. But you gotta get Iron Man to stop by my niece's birthday party.,MALE
208,NICK FURY,"Thank you, sir.",MALE
209,ALEXANDER PIERCE,"And not just a flyby, he's got to mingle.",MALE
210,FEMALE WAR VETERAN,"The thing is I think it's getting worse. A cop pulled me over last week, he thought I was drunk. I swerved to miss a plastic bag. I thought it was an IED.",FEMALE
211,SAM WILSON,"Some stuff you leave there, other stuff you bring back. It's our job to figure out how to carry it. Is it gonna be in a big suitcase or in a little man-purse? It's up to you.",MALE
212,FEMALE WAR VETERAN,I'll see you next week.,FEMALE
213,SAM WILSON,Yeah.,MALE
214,FEMALE WAR VETERAN,Yeah.,FEMALE
215,SAM WILSON,Look who it is. The running man.,MALE
216,STEVE ROGERS,Caught the last few minutes. It's pretty intense.,MALE
217,SAM WILSON,"Yeah, brother, we all got the same problems. Guilt, regret.",MALE
218,STEVE ROGERS,You lose someone?,MALE
